visa_type_id;description;subclass;class
CW1;CNMI-only transitional workers;Temporary workers and trainees;Temporary workers and their families
CW2;Spouses and children of CW1;Temporary workers and trainees;Temporary workers and their families
H1B;Temporary workers in specialty occupations;Temporary workers and trainees;Temporary workers and their families
H1B1;Chile and Singapore Free Trade Agreement aliens;Temporary workers and trainees;Temporary workers and their families
H1C;Registered nurses participating in the Nursing Relief for Disadvantaged Areas;Temporary workers and trainees;Temporary workers and their families
H2A;Agricultural workers;Temporary workers and trainees;Temporary workers and their families
H2B;Nonagricultural workers;Temporary workers and trainees;Temporary workers and their families
H2R;Returning H2B workers;Temporary workers and trainees;Temporary workers and their families
H3;Trainees;Temporary workers and trainees;Temporary workers and their families
H4;Spouses and children of H1, H2, or H3;Temporary workers and trainees;Temporary workers and their families
O1;Workers with extraordinary ability or achievement;Temporary workers and trainees;Temporary workers and their families
O2;Workers accompanying and assisting in performance of O1 workers;Temporary workers and trainees;Temporary workers and their families
O3;Spouses and children of O1 and O2;Temporary workers and trainees;Temporary workers and their families
P1;Internationally recognized athletes or entertainers;Temporary workers and trainees;Temporary workers and their families
P2;Artists or entertainers in reciprocal exchange programs;Temporary workers and trainees;Temporary workers and their families
P3;Artists or entertainers in culturally unique programs;Temporary workers and trainees;Temporary workers and their families
P4;Spouses and children of P1, P2, or P3;Temporary workers and trainees;Temporary workers and their families
Q1;Workers in international cultural exchange programs;Temporary workers and trainees;Temporary workers and their families
R1;Workers in religious occupations;Temporary workers and trainees;Temporary workers and their families
R2;Spouses and children of R1;Temporary workers and trainees;Temporary workers and their families
TN;North American Free Trade Agreement (NAFTA) professional workers;Temporary workers and trainees;Temporary workers and their families
TD;Spouses and children of TN;Temporary workers and trainees;Temporary workers and their families
L1;Intracompany transferees;Intracompany transferees;Temporary workers and their families
L2;Spouses and children of L1;Intracompany transferees;Temporary workers and their families
E1;Treaty traders and their spouses and children;Treaty traders and investors;Temporary workers and their families
E2;Treaty investors and their spouses and children;Treaty traders and investors;Temporary workers and their families
E2C;Treaty investors and their spouses and children (CNMI only);Treaty traders and investors;Temporary workers and their families
E3;Australian Free Trade Agreement principals, spouses and children;Treaty traders and investors;Temporary workers and their families
